URL,Size,# of outlinks,Content-type
https://www.foxnews.com/faith-values/what-is-easter,53942,156,TEXT/HTML
https://www.foxnews.com/media/dana-loesch-reacts-to-bloomberg-sanders-sparring-over-socialism-on-las-vegas-debate-stage-it-was-fun-to-watch,81022,180,TEXT/HTML
https://www.foxnews.com/accessibility-statement,34203,146,TEXT/HTML
https://www.foxnews.com/category/politics/executive,64619,176,TEXT/HTML
https://www.foxnews.com/auto/ryan-newman-daytona-500-crash-head-injury,67087,168,TEXT/HTML
https://www.foxnews.com/politics/sanders-says-he-would-use-military,70497,168,TEXT/HTML
https://www.foxnews.com/entertainment/kirk-douglas-fortune-charity-michael-none,72940,183,TEXT/HTML
https://www.foxnews.com/entertainment/tori-spelling-kids-so-much-bullying,74439,180,TEXT/HTML
https://www.foxnews.com/person/h/michael-hollan,51806,166,TEXT/HTML
https://www.foxnews.com/politics/aipac-blasts-sanders-after-2020-frontrunner-says-hell-skip-conference,72832,169,TEXT/HTML
https://www.foxnews.com/category/us/terror,62786,176,TEXT/HTML
https://www.foxnews.com/travel/luxury-villa-los-angeles-bomb-site-broken-glass,70108,168,TEXT/HTML
https://www.foxnews.com/food-drink/youtube-whataburger-review-twitter-texas-upset,70850,170,TEXT/HTML
https://www.foxnews.com/world/germany-shooting-massacre-thousands-mourn,69408,171,TEXT/HTML
https://www.foxnews.com/category/world/global-economy,63825,176,TEXT/HTML
https://www.foxnews.com/opinion/really-need-to-walk-10000-steps-a-day-nicole-saphier,80363,170,TEXT/HTML
https://www.foxnews.com/category/science/planet-earth,62774,176,TEXT/HTML
https://www.foxnews.com/category/lifestyle/occasions/holiday,62341,175,TEXT/HTML
https://www.foxnews.com/entertainment/country-music-singer-lindsey-lagestee-dead,72543,185,TEXT/HTML
https://www.foxnews.com/us/ousted-new-hampshire-police-chief-heads-home-in-underwear-after-turning-in-guns-and-uniform,67723,168,TEXT/HTML
https://www.foxnews.com/lifestyle/instagram-blogger-photoshop-the-perfect-female-over-the-decades,71018,173,TEXT/HTML
https://www.foxnews.com/category/world/disasters,63397,175,TEXT/HTML
https://www.foxnews.com/politics/bernie-sanders-the-only-guarantee-in-2020-is-that-theres-no-guarantee,90170,174,TEXT/HTML
https://www.foxnews.com/category/politics/foreign-policy,65188,176,TEXT/HTML
https://www.foxnews.com/sports/nhls-carolina-hurricanes-win-with-help-from-zamboni-driver-after-2-goalies-get-hurt,67717,164,TEXT/HTML
https://www.foxnews.com/category/entertainment/movies,62264,175,TEXT/HTML
https://www.foxnews.com/category/special/occasions/holiday,62963,177,TEXT/HTML
https://www.foxnews.com/person/personalities,36172,145,TEXT/HTML
https://www.foxnews.com/person/g/peggy-grande.html,59310,169,TEXT/HTML
https://www.foxnews.com/us/new-york-library-security-guard-killed-asking-man-music-police-say,63897,164,TEXT/HTML
https://www.foxnews.com/politics/bernie-sanders-free-childcare-pre-k-wealth-tax.amp,67613,133,TEXT/HTML
https://www.foxnews.com/entertainment/happy-days-henry-winkler-why-hollywoods-nicest-celebrities,93221,195,TEXT/HTML
https://www.foxnews.com/category/style-and-beauty,61206,176,TEXT/HTML
https://www.foxnews.com/us/ohio-inmate-failed-escape-jail-video,69291,170,TEXT/HTML
https://www.foxnews.com/category/world/conflicts,64135,175,TEXT/HTML
https://www.foxnews.com/entertainment/glen-campbell-widow-kim-museum-nashville,85576,193,TEXT/HTML
https://www.foxnews.com/privacy-policy,107713,156,TEXT/HTML
https://www.foxnews.com/lifestyle/mardi-gras-around-the-country.amp,65874,137,TEXT/HTML
https://www.foxnews.com/opinion/lew-olowski-trump-bans-new-yorkers-from-tsa-pre-check-other-sanctuary-states-and-cities-could-be-next,81979,170,TEXT/HTML
https://www.foxnews.com/media/sarah-sanders-warns-trump-backers-about-bernies-momentum-we-can-take-nothing-for-granted,70383,169,TEXT/HTML
https://www.foxnews.com/category/entertainment/tv,61758,175,TEXT/HTML
https://www.foxnews.com/sports,234129,371,TEXT/HTML
https://www.foxnews.com/sports/tyson-fury-beats-deontay-wilder-in-rematch-for-wbc-heavyweight-title,64256,166,TEXT/HTML
https://www.foxnews.com/lifestyle,131860,271,TEXT/HTML
https://www.foxnews.com/person/r/vandana-rambaran,57682,168,TEXT/HTML
https://www.foxnews.com/media,73866,193,TEXT/HTML
https://www.foxnews.com/food-drink,102755,227,TEXT/HTML
https://www.foxnews.com/category/person/tori-spelling,54520,166,TEXT/HTML
https://www.foxnews.com/entertainment/liz-hurley-sizzles-bikini-island-getaway,71767,181,TEXT/HTML
https://www.foxnews.com/entertainment/jessica-simpson-praises-britney-spears-christina-aguilera-pushed-into-competition,75039,182,TEXT/HTML
https://www.foxnews.com/category/politics/judiciary,64388,176,TEXT/HTML
https://www.foxnews.com/faith-values/indiana-pastor-shares-how-god-helped-him-forgive-after-wife-unborn-child-were-murdered,62089,163,TEXT/HTML
https://www.foxnews.com/food-drink/national-snack-month-7-things-didnt-know-favorite-snack-foods,84101,181,TEXT/HTML
https://www.foxnews.com/us/texas-man-impaled-fence-car-crash,69135,169,TEXT/HTML
https://www.foxnews.com/opinion/paul-batura-ronald-reagan-warned-us-about-bernie-sanders-over-40-years-ago,85804,172,TEXT/HTML
https://www.foxnews.com/entertainment/arnold-schwarzenegger-joseph-baena-birthday-gym,70409,178,TEXT/HTML
https://www.foxnews.com/entertainment/jana-kramer-mike-caussin-redo-new-year-end-2019,80337,188,TEXT/HTML
https://www.foxnews.com/politics/marianne-williamson-endorses-bernie-sanders,72605,171,TEXT/HTML
https://www.foxnews.com/world,132033,264,TEXT/HTML
https://www.foxnews.com/us,158331,294,TEXT/HTML
https://www.foxnews.com/category/health/healthy-living/childrens-health,63320,176,TEXT/HTML
https://www.foxnews.com/newsletters,60335,157,TEXT/HTML
https://www.foxnews.com/category/health/cancer,63814,175,TEXT/HTML
https://www.foxnews.com/category/science/archaeology,63098,176,TEXT/HTML
https://www.foxnews.com/entertainment/7-shocking-celebrity-weight-loss-transformations,99929,207,TEXT/HTML
https://www.foxnews.com/entertainment/harrison-ford-marriage-secrets,79309,186,TEXT/HTML
https://www.foxnews.com/media/noah-galloway-wounded-veteran-double-amputee,80960,176,TEXT/HTML
https://www.foxnews.com/us/tennessee-doctor-convicted-opioids,70113,170,TEXT/HTML
https://www.foxnews.com/person/l/christen-limbaugh-bloom.html,57618,169,TEXT/HTML
https://www.foxnews.com/real-estate,59186,172,TEXT/HTML
https://www.foxnews.com/us/colorado-squatters-leave-behind-underwear-a-snake-and-sex-toys,64629,165,TEXT/HTML
https://www.foxnews.com/category/person/bernie-sanders,78670,188,TEXT/HTML
https://www.foxnews.com/health/what-is-frostbite-who-is-at-risk,61346,165,TEXT/HTML
https://www.foxnews.com/media/don-peebles-bernie-sanders-socialist,75609,171,TEXT/HTML
https://www.foxnews.com/entertainment/supermodel-lauren-hutton-skincare-bedroom-secrets,79231,188,TEXT/HTML
https://www.foxnews.com/opinion/christen-limbaugh-bloom-five-lies-god-sent-jesus-to-destroy,76147,169,TEXT/HTML
https://www.foxnews.com/category/entertainment/celebrity-news,61751,175,TEXT/HTML
https://www.foxnews.com/great-outdoors,44700,156,TEXT/HTML
https://www.foxnews.com/category/science/air-and-space,62092,176,TEXT/HTML
https://www.foxnews.com/category/us/personal-freedoms,64338,174,TEXT/HTML
https://www.foxnews.com/tech/sue-robocallers-photograph-amazon-deliveries-vr-after-death-and-more-tech-qa,74420,168,TEXT/HTML
https://www.foxnews.com/us/3-killed-in-california-house-after-rental-disagreement-dispute-police,66547,170,TEXT/HTML
https://www.foxnews.com/us/police-investigating-why-california-man-drove-jeep-off-multi-level-parking-garage-and-into-mcdonalds,71055,169,TEXT/HTML
https://www.foxnews.com/opinion,147008,232,TEXT/HTML
https://www.foxnews.com/category/entertainment/genres/then-and-now,62794,177,TEXT/HTML
